,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
77,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,121572,85,0.493,0.269,0.653,0.0,0.511,-5.666,0.0466,142.347,4
78,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),Juice WRLD,2019-10-04,189322,81,0.474,0.0687,0.631,0.0,0.132,-5.884,0.343,180.051,4
79,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,2021-03-19,173346,95,0.75,0.00165,0.608,0.0,0.178,-4.008,0.0387,132.507,4
80,Beer Never Broke My Heart,What You See Is What You Get,Luke Combs,2019-11-08,186733,77,0.538,0.0139,0.863,0.0,0.0874,-4.483,0.0481,77.001,4
81,Lil Bit,Lil Bit,Nelly,2020-10-23,195962,81,0.707,0.0255,0.689,0.0,0.383,-7.097,0.0387,119.987,4
82,BOP,KIRK,DaBaby,2019-09-27,159714,81,0.769,0.189,0.787,0.0,0.129,-3.909,0.367,126.77,4
83,Permission to Dance,Butter / Permission to Dance,BTS,2021-07-09,187585,95,0.702,0.00544,0.741,0.0,0.337,-5.33,0.0427,124.925,4
84,Ballin' (with Roddy Ricch),Perfect Ten,Mustard,2019-06-28,180434,80,0.809,0.392,0.545,0.0,0.151,-6.678,0.0735,97.008,4
85,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,236524,83,0.477,0.000866,0.727,0.0,0.108,-4.053,0.286,150.062,4
86,BEST FOR ME,F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,142417,71,0.536,0.553,0.482,0.0,0.123,-6.749,0.0311,90.966,4
87,Be Like That - feat. Swae Lee & Khalid,Be Like That (feat. Swae Lee & Khalid),Kane Brown,2020-07-10,191406,78,0.727,0.0469,0.626,2.58e-05,0.126,-8.415,0.0726,86.97,4
88,bury a friend,Family Pool Party,Various Artists,2021-08-11,193143,0,0.887,0.739,0.388,0.143,0.106,-14.505,0.349,120.035,4
89,"1 step forward, 3 steps back",SOUR,Olivia Rodrigo,2021-05-21,163586,86,0.473,0.941,0.203,0.0,0.126,-12.627,0.102,168.884,4
90,bad guy,Family Pool Party,Various Artists,2021-08-11,194087,0,0.701,0.328,0.425,0.13,0.1,-10.965,0.375,135.128,4
91,Leave The Door Open,Leave The Door Open,Bruno Mars,2021-03-05,242096,92,0.586,0.182,0.616,0.0,0.0927,-7.964,0.0324,148.088,4
92,#BrooklynBloodPop!,#BrooklynBloodPop!,SyKo,2020-07-27,145610,83,0.691,0.0164,0.814,0.0,0.366,-3.788,0.117,132.012,4
93,Bound 2,Yeezus,Kanye West,2013-06-18,229146,79,0.367,0.145,0.665,0.0,0.113,-2.821,0.0465,148.913,4
94,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,2021-04-27,168030,86,0.39,0.0021,0.83,0.0,0.156,-5.201,0.0563,90.021,4
95,"Bills, Bills, Bills",The Writing's On The Wall,Destiny's Child,1999-07-27,256026,82,0.845,0.139,0.576,0.0,0.0764,-5.15,0.153,127.641,4
96,Believer,Evolve,Imagine Dragons,2017-06-23,204346,86,0.776,0.0622,0.78,0.0,0.081,-4.374,0.128,124.949,4
